avg_distance,avg_duration,month,member_casual,rideable_type,total_count
1.9452080735334412,12.004024788885863,10,member,classic_bike,2936800
1.624318884103866,10.181322364411944,10,member,electric_bike,164100
1.464991650459126,9.916469135802469,12,member,electric_bike,67500
2.255972723087058,22.34985347985348,5,casual,electric_bike,91000
2.186971045342691,23.578372497824194,6,casual,electric_bike,76600
1.8917976302181225,17.47972852692479,2,casual,classic_bike,149800
1.7278283807350021,10.145282504363001,1,member,electric_bike,305600
2.1937576306876077,21.683534536128064,7,casual,classic_bike,753800
1.6959129183085948,27.61333333333333,7,casual,docked_bike,9500
2.13317752461991,19.297766323024057,7,casual,electric_bike,77600
1.9387161439289766,19.673571428571428,10,casual,electric_bike,42000
1.8074784045279029,11.105238907849829,6,member,electric_bike,293000
1.6607194614400216,10.586212620342707,1,member,classic_bike,1305300
1.7711529125059482,19.797875540515133,1,casual,classic_bike,177300
1.7842176605086395,12.461486921027419,5,member,classic_bike,2539700
1.6615447399057932,11.283146067415732,2,member,electric_bike,302600
1.734723252991374,10.480487261713877,3,member,electric_bike,374200
2.1543938799089193,22.87307774058133,6,casual,classic_bike,627300
2.191486068000853,19.83150104135674,9,casual,classic_bike,672200
1.9992236556262877,18.786153846153848,8,casual,electric_bike,78000
1.7725936417828578,36.643719806763286,3,casual,docked_bike,6900
1.6330948439271458,11.440515893694633,9,member,electric_bike,191900
1.855153674987575,11.58685439432147,5,member,electric_bike,356900
1.9029990251092406,47.560476190476194,6,casual,docked_bike,14000
2.0860854076704083,17.435318058486583,12,casual,classic_bike,331700
1.8731792342275462,17.092235123367196,3,casual,electric_bike,68900
1.6585354518770976,37.017361111111114,4,casual,docked_bike,14400
1.9725272070585855,49.27411764705882,5,casual,docked_bike,17000
1.7387582222374136,11.346179807554215,7,member,electric_bike,232100
2.2263418034551328,150.9287878787879,2,casual,docked_bike,5500
2.20460565129274,22.24684555182878,8,casual,classic_bike,834800
1.7838414225211934,10.649740638677256,12,member,classic_bike,1850700
1.8148438750825886,17.845425407925408,1,casual,electric_bike,57200
1.9002178975410904,12.219278866194248,9,member,classic_bike,2638900
1.6949984497966906,11.499314515248761,3,member,classic_bike,1526900
1.6655117794700443,20.661470588235293,12,casual,electric_bike,17000
2.118125644269798,18.53098596890406,11,casual,classic_bike,439500
1.8331812013663276,11.616527537900595,4,member,electric_bike,347400
1.8207670442000765,12.317921238578414,6,member,classic_bike,2542700
2.015910631225505,22.42771243398944,4,casual,classic_bike,416600
1.6953762540637891,11.148046980227358,2,member,classic_bike,1237400
1.773635271551778,12.117103218833384,4,member,classic_bike,1973800
1.4255175211064661,8.303531073446328,11,member,electric_bike,59000
1.8752267373738036,21.279960691823902,3,casual,classic_bike,212000
1.6859551135658826,17.228676470588233,11,casual,electric_bike,13600
1.694744715315391,11.553607286288008,8,member,electric_bike,232400
1.8775027375425477,11.704959596812794,11,member,classic_bike,2367800
2.1076517491945728,22.44234861845973,5,casual,classic_bike,567000
2.082891882186731,17.894597701149426,9,casual,electric_bike,58000
1.8670290640632383,11.985151233995175,7,member,classic_bike,2694500
1.8887739594761255,19.197924648786717,2,casual,electric_bike,52200
2.110481127636737,19.61316701316701,4,casual,electric_bike,96200
1.5767718814606078,96.34833333333331,1,casual,docked_bike,5000
1.9327640233275052,12.382423860748002,8,member,classic_bike,2937600
2.124242145690654,19.669495676513222,10,casual,classic_bike,666900
